# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Sep  4 14:20:46 2025
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_lum,sy_dist
AB Pic b,AB Pic,260.0000000000,12.30000000,4290.50000000,12.700000,,,,5285.00,0.999394,0.900000,-0.22631,50.04750000
AF Lep b,AF Lep,8.4000000000,13.10000000,1017.05090240,2.490000,0.240000,,1400.00,6130.00,1.250000,1.200000,0.29000,26.85640000
AT2021ueyL b,AT2021ueyL,4.0100000000,13.60000000,425.89006538,0.930000,,,,3680.00,,0.490000,,1040.00000000
AU Mic b,AU Mic,0.0649000000,3.95677019,20.12000000,1.320000,0.005770,21.2000,600.00,3678.00,0.744000,0.510000,-1.03810,9.72210000
AU Mic c,AU Mic,0.1108000000,2.52202066,9.60000000,1.220000,0.003380,7.3000,459.00,3678.00,0.744000,0.510000,-1.03810,9.72210000
AU Mic d,AU Mic,,1.02000000,1.05300000,5.450000,0.003050,,,3678.00,0.744000,0.510000,-1.03810,9.72210000
BD+03 2562 b,BD+03 2562,1.3000000000,12.70000000,2034.11200000,5.460000,0.200000,,,4095.00,32.350000,1.140000,2.70000,1070.63000000
BD+05 4868 A b,BD+05 4868 A,0.0208000000,,6.20000000,,,,1820.00,4596.00,0.690000,0.700000,-0.71670,43.56870000
BD+14 4559 b,BD+14 4559,0.7800000000,13.80000000,330.54320000,0.691000,0.290000,,,4864.00,0.860000,0.490000,-0.32000,49.35200000
BD+15 2375 b,BD+15 2375,0.5760000000,13.80000000,337.21763000,0.705000,0.001000,,,4649.00,8.950000,1.080000,1.57000,768.04500000
BD+15 2940 b,BD+15 2940,0.5390000000,13.70000000,352.78000000,0.754000,0.260000,,,4796.00,14.700000,1.100000,2.01000,426.42000000
BD+20 2457 b,BD+20 2457,1.4500000000,12.10000000,6807.63000000,21.100000,0.150000,,,4137.00,49.000000,2.800000,3.17000,1539.71000000
BD+20 2457 c,BD+20 2457,2.0100000000,12.40000000,3963.17000000,11.400000,0.180000,,,4137.00,49.000000,2.800000,3.17000,1539.71000000
BD+20 274 b,BD+20 274,1.3000000000,13.00000000,1334.88600000,3.340000,0.210000,,,4296.00,17.300000,0.800000,1.96000,1322.51000000
BD+20 594 b,BD+20 594,0.2410000000,2.57807000,22.24810000,7.890000,0.000000,,546.00,5766.00,1.080000,1.670000,-0.05552,179.46100000
BD+45 564 b,BD+45 564,0.8300000000,13.60000000,432.24663352,0.944000,0.120000,,,5004.00,0.813064,0.810000,-0.39918,53.62200000
BD+48 738 b,BD+48 738,1.0000000000,13.90000000,289.22530000,0.592000,0.200000,,,4414.00,11.000000,0.740000,1.69000,871.49300000
BD+48 740 b,BD+48 740,1.7000000000,13.50000000,540.31100000,1.210000,0.760000,,,4534.00,10.330000,1.090000,1.64000,666.58900000
BD+49 828 b,BD+49 828,4.2000000000,13.50000000,508.50000000,1.140000,0.350000,,,4943.00,7.600000,1.520000,1.47000,442.04200000
BD+55 362 b,BD+55 362,0.7800000000,14.00000000,228.83645304,0.458000,0.270000,,,5012.00,0.896193,0.909000,-0.31295,52.56970000
BD+60 1417 b,BD+60 1417,1662.0000000000,14.68376472,4767.42610500,8.270000,,,1303.00,4993.00,0.797000,1.000000,0.35595,44.95430000
BD+63 1405 b,BD+63 1405,2.0600000000,12.40000000,3305.41543280,9.530000,0.880000,,,5000.00,0.804724,0.816000,-0.41295,38.04730000
BD-06 1339 b,BD-06 1339,0.0428000000,2.85000000,8.50000000,2.020000,0.000000,,,4324.00,0.686355,0.700000,-1.02200,20.26950000
BD-06 1339 c,BD-06 1339,0.4350000000,8.38000000,53.00000000,0.495000,0.310000,,,4324.00,0.686355,0.700000,-1.02200,20.26950000
BD-08 2823 b,BD-08 2823,0.0600000000,3.61000000,12.71320000,1.480000,0.150000,,,4816.00,0.710000,0.500000,-0.62597,41.33420000
BD-08 2823 c,BD-08 2823,0.6800000000,12.50000000,104.00000000,0.293000,0.190000,,,4746.00,0.710000,0.740000,-0.62597,41.33420000
BD-10 3166 b,BD-10 3166,0.0400000000,14.10000000,187.51970000,0.368000,0.020000,,,5393.00,0.910000,1.470000,-0.19120,84.40690000
BD-11 4672 b,BD-11 4672,2.3600000000,14.10000000,206.58950000,0.405000,0.050000,,,4550.00,0.639000,0.651000,-0.80410,27.16650000
BD-11 4672 c,BD-11 4672,0.3000000000,4.04000000,15.37000000,1.280000,0.400000,,,4550.00,0.639000,0.651000,-0.80410,27.16650000
BD-13 2130 b,BD-13 2130,1.6600000000,12.50000000,3108.37740000,8.750000,0.210000,,,4545.00,19.170000,2.120000,2.04268,925.21400000
BD-14 3065 b,BD-14 3065 A,0.0656000000,21.59000000,3932.00000000,2.150000,0.066000,646.7610,2001.00,6935.00,2.350000,1.410000,1.06000,589.42300000
BD-17 63 b,BD-17 63,1.3400000000,12.80000000,1639.99458012,4.300000,0.543900,,,4714.00,0.740000,0.741000,-0.67800,34.46030000
BD-210397 b,BD-210397,2.6300000000,14.00000000,214.00000000,0.429000,0.100000,0.0200,,4051.00,0.747000,0.679000,-0.86967,23.73240000
BD-210397 c,BD-210397,5.9000000000,12.90000000,1525.57635360,3.910000,0.430000,0.0039,,4051.00,0.747000,0.690000,-0.86967,23.73240000
BEBOP-3 b,BEBOP-3,1.4440000000,14.20000000,177.34825111,0.340000,0.247000,,,6033.00,1.414000,1.083000,0.38321,119.05200000
Barnard b,Barnard's star,0.0229000000,0.72000000,0.29900000,4.400000,0.030000,6.7600,438.00,3195.00,0.185000,0.162000,-2.44977,1.82655000
Barnard c,Barnard's star,0.0274000000,0.74300000,0.33500000,4.490000,0.080000,,400.00,3195.00,0.185000,0.162000,-2.44977,1.82655000
Barnard d,Barnard's star,0.0188000000,0.69400000,0.26300000,4.320000,0.040000,,483.00,3195.00,0.185000,0.162000,-2.44977,1.82655000
Barnard e,Barnard's star,0.0381000000,0.63700000,0.19300000,4.100000,0.040000,,340.00,3195.00,0.185000,0.162000,-2.44977,1.82655000
CD Cet b,CD Cet,0.0185000000,1.82000000,3.95000000,3.600000,,8.6000,464.00,3130.00,0.175000,0.161000,-2.53254,8.60715000
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,2.6000000000,12.40000000,3337.10000000,9.620000,,,370.00,580.50,,0.021000,,23.10000000
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,200.0000000000,20.84870410,2479.06157460,1.500000,,,1800.00,2320.00,0.245000,0.014700,-2.85000,
CHXR 73 b,CHXR 73,210.0000000000,12.30000000,3994.48600000,11.800000,,,,3099.00,,0.350000,,190.37400000
CI Tau c,CI Tau,0.1700000000,13.00000000,1144.18226520,2.860000,0.580000,,,3807.00,1.880857,0.900000,-0.25458,157.99800000
COCONUTS-2 b,COCONUTS-2 A,7506.0000000000,12.44196858,2542.62725600,7.250000,,,434.00,3406.00,0.388000,0.370000,-1.73200,10.88640000
CT Cha b,CT Cha,440.0000000000,24.66000000,5403.00000000,1.980000,,,2600.00,4403.00,1.679694,,-0.10177,190.72000000
CoRoT-1 b,CoRoT-1,0.0275200000,16.70000000,327.35000000,0.380000,0.000000,2852.6300,1898.00,5950.00,1.110000,0.950000,0.29793,787.90900000
CoRoT-10 b,CoRoT-10,0.1055000000,10.87000000,874.00000000,3.700000,0.530000,16.1089,600.00,5075.00,0.790000,0.890000,-0.72608,338.38600000
CoRoT-11 b,CoRoT-11,0.0436000000,16.03000000,740.51000000,0.990000,0.000000,1890.6490,1657.00,6440.00,1.370000,1.270000,0.37753,655.03700000
CoRoT-12 b,CoRoT-12,0.0401600000,16.14000000,291.43800000,0.411000,0.070000,661.1334,1442.00,5675.00,1.116000,1.078000,0.07000,1126.37000000
CoRoT-13 b,CoRoT-13,0.0510000000,9.92000000,415.70400000,2.340000,0.000000,546.5339,1700.00,5945.00,1.010000,1.090000,0.07314,1148.93000000
CoRoT-14 b,CoRoT-14,0.0270000000,12.22000000,2415.40000000,7.300000,0.000000,,1952.00,6035.00,1.210000,1.130000,0.11884,1744.60000000
CoRoT-16 b,CoRoT-16,0.0618000000,13.11000000,170.03200000,0.440000,0.330000,,,5650.00,1.190000,1.098000,-0.43496,732.40900000
CoRoT-17 b,CoRoT-17,0.0461000000,11.43000000,772.29000000,2.820000,0.000000,,1626.00,5740.00,1.590000,1.040000,0.13421,1176.12000000
CoRoT-18 b,CoRoT-18,0.0295000000,14.68000000,1102.82000000,2.200000,0.080000,823.7009,1550.00,5440.00,1.000000,0.950000,-0.17000,764.88900000
CoRoT-19 b,CoRoT-19,0.0518000000,14.46000000,352.78000000,0.710000,0.047000,1103.8090,2000.00,6090.00,1.650000,1.210000,0.54400,790.66300000
CoRoT-2 b,CoRoT-2,0.0279800000,16.43200000,1102.82000000,1.470000,0.014300,932.9076,1521.00,5625.00,0.906000,0.960000,-0.13055,213.28300000
CoRoT-20 b,CoRoT-20,0.0900000000,9.41556000,1366.66900000,8.870000,0.590000,180.8704,1024.00,5880.00,1.020000,1.140000,0.17000,844.06100000
CoRoT-20 c,CoRoT-20,2.9000000000,12.20000000,5403.11000000,16.400000,0.600000,,,5880.00,1.020000,1.140000,0.17000,844.06100000
CoRoT-21 b,CoRoT-21,0.0417000000,14.57170000,718.29580000,1.360000,0.000000,,,6200.00,1.950000,1.290000,0.70500,1398.83419686
CoRoT-22 b,CoRoT-22,0.0920000000,4.88000000,12.20000000,0.249000,0.077000,,885.00,5939.00,1.136000,1.099000,0.01352,627.15800000
CoRoT-23 b,CoRoT-23,0.0480000000,11.77000000,889.90000000,3.000000,0.160000,,1660.00,5900.00,1.610000,1.140000,0.08678,1060.97000000
CoRoT-24 b,CoRoT-24,0.0560000000,3.70000000,5.70000000,0.900000,0.000000,,1070.00,4950.00,0.860000,0.910000,-0.60148,591.55500000
CoRoT-24 c,CoRoT-24,0.0980000000,5.00000000,28.00000000,1.300000,0.000000,,850.00,4950.00,0.860000,0.910000,-0.60148,591.55500000
CoRoT-25 b,CoRoT-25,0.0578000000,12.11000000,85.81000000,0.150000,0.000000,,1330.00,6040.00,1.190000,1.090000,0.14101,1103.48000000
CoRoT-26 b,CoRoT-26,0.0526000000,14.12000000,165.26000000,0.280000,0.000000,,1600.00,5590.00,1.790000,1.090000,0.45100,1045.18000000
CoRoT-27 b,CoRoT-27,0.0476000000,11.28700000,3302.11000000,12.600000,0.065000,,1500.00,5900.00,1.080000,1.050000,-0.16641,1010.28000000
CoRoT-28 b,CoRoT-28,0.0603000000,10.70459500,153.82972000,0.690000,0.047000,,,5150.00,1.780000,1.010000,0.38849,766.18300000
CoRoT-29 b,CoRoT-29,0.0386000000,10.08810000,270.15550000,1.450000,0.082000,,,5260.00,0.900000,0.970000,-0.09414,806.50700000
CoRoT-3 b,CoRoT-3,0.0578300000,11.32000000,6883.91000000,26.400000,0.000000,,1695.00,6740.00,1.560000,1.370000,0.39086,768.77100000
CoRoT-30 b,CoRoT-30,0.0844000000,11.30988100,921.70700000,3.450000,0.007000,,,5650.00,0.910000,0.980000,-0.19653,1032.23000000
CoRoT-31 b,CoRoT-31,0.0586000000,16.36514000,266.97720000,0.330000,0.020000,,,5700.00,2.150000,1.250000,0.39778,2005.76000000
CoRoT-32 b,CoRoT-32,0.0710000000,6.38913000,47.67450000,1.100000,,132.2600,938.00,5970.00,0.790000,1.080000,-0.15490,576.68300000
CoRoT-35 b,CoRoT-35,0.0429000000,18.83108758,349.61124770,0.290000,0.000000,,1747.00,6390.00,1.650000,1.010000,0.36247,1123.21000000
CoRoT-36 b,CoRoT-36,0.0660000000,15.80466279,216.12331676,0.250000,0.000000,,1567.00,6730.00,1.520000,1.320000,0.81257,925.95800000
CoRoT-4 b,CoRoT-4,0.0900000000,13.34000000,228.83000000,0.525000,0.000000,203.9517,1074.00,6190.00,1.170000,1.160000,0.18482,726.41200000
CoRoT-5 b,CoRoT-5,0.0494700000,15.55800000,148.42000000,0.217000,0.090000,786.2949,1438.00,6100.00,1.186000,1.000000,0.18000,882.47200000
CoRoT-6 b,CoRoT-6,0.0855000000,13.06800000,940.74000000,2.320000,0.100000,,1017.00,6090.00,1.025000,1.050000,0.02573,645.29400000
CoRoT-7 b,CoRoT-7,0.0170160000,1.68135000,4.07660518,9.355000,0.000000,,1756.00,5275.00,0.830000,0.820000,-0.28938,159.90600000
CoRoT-7 c,CoRoT-7,0.0460000000,2.83000000,8.40000000,2.040000,0.000000,,,5256.00,0.864273,0.899000,-0.28938,159.90600000
CoRoT-7 d,CoRoT-7,,4.31000000,17.14200000,1.180000,,,,5250.00,0.838900,0.915000,-0.28938,159.90600000
CoRoT-8 b,CoRoT-8,0.0630000000,6.39000000,69.92000000,1.600000,0.000000,,870.00,5080.00,0.770000,0.880000,-0.40000,322.03700000
CoRoT-9 b,CoRoT-9,0.4021000000,11.94879400,266.97720000,0.860000,0.133000,,420.00,5625.00,0.960000,0.960000,-0.25426,412.98000000
DE CVn b,DE CVn,5.7500000000,12.40000000,3823.27330161,11.000000,0.000000,,,3579.00,0.424754,0.510000,-1.57398,30.52250000
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,0.3600000000,11.90000000,9057.77000000,29.500000,0.345000,,,,,0.075000,,20.77000000
DH Tau b,DH Tau,330.0000000000,30.26430000,3496.00000000,0.693000,,,2200.00,4371.00,0.270000,0.330000,-0.21153,134.84600000
DMPP-1 b,DMPP-1,0.1462000000,5.29000000,24.27000000,0.901000,0.083000,,877.00,6196.00,1.260000,1.210000,0.31955,62.53880000
DMPP-1 c,DMPP-1,0.0733000000,3.06000000,9.60000000,1.840000,0.057000,,1239.00,6196.00,1.260000,1.210000,0.31955,62.53880000
DMPP-1 d,DMPP-1,0.0422000000,1.65000000,3.35000000,4.100000,0.070000,,1632.00,6196.00,1.260000,1.210000,0.31955,62.53880000
DMPP-1 e,DMPP-1,0.0651000000,1.86000000,4.13000000,3.530000,0.070000,,1314.00,6196.00,1.260000,1.210000,0.31955,62.53880000
DMPP-2 b,DMPP-2,0.0664000000,14.30000000,138.89171000,0.261000,0.078000,,1000.00,6500.00,1.780000,1.440000,0.10380,137.94000000
DMPP-3 A b,DMPP-3 A,0.0662000000,1.41000000,2.58000000,5.060000,0.140000,,854.00,5138.00,0.910000,0.870000,-0.29268,45.23000000
DMPP-4 b,DMPP-4,0.0485300000,3.53000000,12.20000000,1.520000,0.063000,,,6400.00,1.380000,1.250000,0.45939,25.32840000
DP Leo b,DP Leo,8.1900000000,12.70000000,1995.88832000,5.350000,0.390000,,,13500.00,0.011500,0.690000,-2.40000,305.68400000
DS Tuc A b,DS Tuc A,,5.70000000,413.17900000,,0.000000,115.8276,850.00,5428.00,0.964000,1.010000,-0.13966,44.06220000
EPIC 201170410.02,EPIC 201170410,0.0349000000,1.04700000,1.15000000,5.510000,0.000000,,,3648.00,0.282000,0.287000,-1.90000,134.00000000
EPIC 201238110 b,EPIC 201238110,,1.87000000,4.16000000,3.500000,,,,3587.00,0.374000,0.410000,-1.50834,159.25900000
EPIC 201427007 b,EPIC 201427007,,1.50000000,2.86000000,4.660000,,,,5633.00,0.940000,0.930000,-0.04875,706.39100000
EPIC 201497682 b,EPIC 201497682,,0.69200000,0.26000000,4.310000,,,,4991.00,0.554000,0.780000,-0.76627,253.02600000
EPIC 201595106 b,EPIC 201595106,0.0177000000,1.56500000,7.67000000,11.100000,0.000000,2852.0000,2038.00,5679.00,0.980000,0.958000,-0.04915,232.10000000
EPIC 201615463 c,K2-166,,1.22000000,1.98000000,5.990000,,,,5960.00,1.610000,1.073000,0.45848,476.88200000
EPIC 201754305 d,K2-16,,1.03000000,1.08000000,5.430000,,,,4761.00,0.544000,0.670000,-0.76082,334.96700000
EPIC 201757695.02,EPIC 201757695,0.0296000000,0.90819000,0.68800000,5.050000,0.000000,,,4520.00,0.655000,0.727000,-0.36351,577.60000000
EPIC 201833600 c,K2-50,,1.00000000,0.97200000,5.340000,,,,4326.00,0.634000,0.611000,-0.87356,257.44300000
EPIC 201841433 b,EPIC 201841433,0.0350000000,1.04000000,1.12000000,5.470000,,,,5053.00,0.628461,0.802000,-0.63455,436.48800000
EPIC 205950854 c,K2-168,,1.31000000,2.27000000,5.550000,,,960.60,5502.70,0.830000,0.877000,-0.17649,243.93500000
EPIC 206024342 b,EPIC 206024342,,1.70000000,3.53000000,3.950000,,,,5724.00,0.823000,0.928000,-0.16992,369.88800000
EPIC 206024342 c,EPIC 206024342,,1.40000000,2.54000000,5.090000,,,,5724.00,1.100000,0.928000,-0.16992,369.88800000
EPIC 206024342 d,EPIC 206024342,,2.60000000,7.27000000,2.270000,,,,5724.00,1.100000,0.928000,-0.16992,369.88800000
EPIC 206032309 b,EPIC 206032309,,1.01000000,1.01000000,5.390000,,,,3489.00,0.373440,0.221000,-1.73006,161.36500000
EPIC 206042996 b,EPIC 206042996,,1.70000000,3.53000000,3.950000,,,,4114.00,0.500000,0.565000,-0.97996,451.76900000
EPIC 206042996 c,EPIC 206042996,,1.20000000,1.87000000,5.950000,,,,4114.00,0.500000,0.565000,-0.97996,451.76900000
EPIC 206215704 b,EPIC 206215704,,1.00000000,0.97200000,5.340000,,,,3297.00,0.250000,0.407000,-2.08843,109.88800000
EPIC 206317286 b,EPIC 206317286,,0.96000000,0.84000000,5.220000,,,,4752.00,0.669000,0.711000,-0.59336,314.35000000
EPIC 206317286 c,EPIC 206317286,,2.09400000,5.03000000,3.010000,,,,4752.00,0.758000,0.832000,-0.59336,314.35000000
EPIC 211822797 b,EPIC 211822797,0.1195000000,1.92000000,4.35000000,3.380000,0.060000,3.5000,431.00,4057.00,0.580000,0.620000,-1.15304,186.19700000
EPIC 211945201 b,EPIC 211945201,0.1493000000,5.76000000,27.00000000,0.650000,0.000000,31.9085,817.00,6069.00,1.390000,1.170000,0.37334,181.69000000
EPIC 212297394 b,EPIC 212297394,,1.48000000,2.79000000,4.730000,,,1149.00,5171.00,0.800000,0.830000,-0.46654,418.39500000
EPIC 212297394 c,EPIC 212297394,,2.27000000,5.77000000,2.710000,,,866.00,5171.00,0.800000,0.830000,-0.46654,418.39500000
EPIC 212424622 b,EPIC 212424622,,2.17000000,5.35000000,2.880000,,,,5782.33,1.224700,1.106000,0.17917,611.80400000
EPIC 212499991 b,EPIC 212499991,,1.60000000,3.19000000,4.280000,,,,4982.79,0.757541,0.912000,-0.49660,283.29000000
EPIC 212587672 b,EPIC 212587672,,1.26000000,2.13000000,5.850000,,,756.00,6004.00,0.980000,0.990000,0.03848,320.07000000
